"","MAL13P1.124","MAL13P1.135","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.256","MAL13P1.262","MAL13P1.293","MAL13P1.321","MAL13P1.322","MAL13P1.338","MAL13P1.40","MAL7P1.18","MAL7P1.29","MAL7P1.65","MAL7P1.75","MAL7P1.94","MAL8P1.108","MAL8P1.123","MAL8P1.132","MAL8P1.91","MAL8P1.92","PF07_0047","PF07_0074","PF07_0079","PF08_0032","PF08_0069","PF10_0020","PF10_0085","PF10_0111","PF10_0132","PF10_0136","PF10_0191","PF10_0243","PF10_0299","PF10_0307","PF10_0374","PF10_0380","PF11_0079","PF11_0087","PF11_0090","PF11_0162","PF11_0214","PF11_0252","PF11_0260","PF11_0290","PF11_0329","PF11_0435","PF11_0438","PF11_0527","PF13_0032","PF13_0042","PF13_0087","PF13_0095","PF13_0135","PF13_0137","PF13_0170","PF13_0208","PF13_0219","PF13_0228","PF13_0350","PF14_0041","PF14_0071","PF14_0112","PF14_0138","PF14_0214","PF14_0238","PF14_0249","PF14_0286","PF14_0327","PF14_0350","PF14_0360","PF14_0384","PF14_0419","PF14_0455","PF14_0540","PF14_0552","PF14_0562","PF14_0593","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0180w","PFA0330w","PFA0430c","PFA0490w","PFB0175c","PFB0270w","PFB0295w","PFB0590w","PFB0920w","PFB0923c","PFC0090w","PFC0230c","PFC0375c","PFC0400w","PFC0440c","PFC0760c","PFC0980c","PFD0285c","PFD0470c","PFD0545w","PFD0785c","PFE0165w","PFE0205w","PFE0260w","PFE0430w","PFE0450w","PFE0585c","PFE0745w","PFE0815w","PFE1255w","PFE1280w","PFE1340w","PFE1390w","PFF0150c","PFF0200c","PFF0325c","PFF0490w","PFF0595c","PFF0610c","PFF0690c","PFF0715c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI0500w","PFI0710c","PFI0855w","PFI0905w","PFI0965w","PFI1185c","PFI1425w","PFL0580w","PFL0685w","PFL0885w","PFL0980w","PFL1135c","PFL1270w","PFL1490w","PFL1680w","PFL2055w","PFL2120w","PFL2200w","PFL2370c","PFL2485c","PFL2520w","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.333607833"," 0.316768853"," 0.5515956443"," 0.41888770"," 1.019706582","-0.3671411713"," 0.2752583309","-0.0935657556","-0.8733616835"," 1.023881867"," 0.197657333"," 1.187050882","-0.025088027"," 1.139212618","-0.054218921","-0.457378200"," 1.018609605","-0.5819713652"," 0.7996905538","-0.246259324"," 0.311185220","-0.0106592443","-0.389071015","-0.476881798","-0.3915275306"," 0.069507000"," 0.2426192636","-0.273064257","-1.487559756","-0.1952969303","-0.4345930385"," 1.120162412","-1.017124865","-0.612714078"," 0.290570586"," 0.360651106"," 1.4315410712","-0.294204417"," 0.301635020"," 0.254037630","-0.516830830","-0.203295425","-1.116323477","-0.0253834277"," 0.668513304"," 0.437132162","-0.308104350","-0.2650546899"," 0.79786161"," 0.201150734","-0.6758693233"," 0.237613589","-0.80491905","-0.4743651150"," 1.5164228459"," 0.317417156","-0.608233758"," 0.509321778"," 0.895722984"," 0.026982336"," 1.152399519","-0.2101276035"," 4.570213e-02","-0.252946897"," 0.5774690671"," 0.139804803"," 0.593256354"," 2.381019e-01","-0.223808660"," 0.107314738"," 0.789741460"," 0.637680823"," 0.157293590","-0.882165755","-8.879156e-01","-0.2924209947","-0.37932014","-0.3077459455","-1.038829259"," 0.620033954","-0.3580350006","-0.255077818"," 0.272158577","-0.001461922"," 0.613968367"," 1.1162696161","-0.580679770","-0.769147594"," 0.4137182599","-0.894046629"," 0.870640108"," 2.401440831"," 0.746242952","-0.2297765123","-1.469760319"," 0.325972146","-0.635850613","-0.005928679","-0.662031167"," 1.161525903","-0.253557920"," 2.112803497","-0.543948004"," 0.880615369"," 0.453632375","-1.67958162","-0.222908349","-0.593935729","-0.3038339418","-0.7088163608"," 0.674259154","-0.6120469930","-1.365175371","-1.633028e-01"," 0.4444442211","-0.425685187"," 0.39835576"," 5.684703e-01"," 0.772094909"," 0.030358974"," 0.330104665"," 0.221398250","-1.308905110"," 0.3563599044","-0.478279948"," 0.421092401","-0.575146784","-0.635553305","-0.766755142"," 0.646175158","-0.3520862222"," 1.593103481","-0.203040719","-1.325399525","-0.208201919","-0.611344225","-1.086363805"," 0.7434126753"," 0.5517402881","-0.584922314","-0.534518458"," 0.077468146","-0.287009964","-0.413034542"," 0.7756384486"," 1.30768437"," 0.376975797","-0.1255517648","-0.873863268",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.344790357"," 0.141389427"," 0.1461847853","-0.41935989","-0.069963021","-0.2894859560"," 0.4165611844","-0.0844221615","-0.0969238797"," 0.083299835"," 0.053784485","-0.058054760","-1.058675749"," 0.226883580","-0.131819785","-0.522025311","-0.403519590"," 0.1322113626","-0.0429221713","-0.050618873"," 0.146349372","-0.7590143224","-0.111138149","-0.404694992","-0.5416710351"," 0.314717021"," 0.1759299612","-0.127049693","-0.633727446"," 0.2250786371","-0.0901293414"," 0.389736784","-0.096656294","-0.195080566","-0.059262556","-0.192086718"," 0.0837970515"," 0.224010944"," 0.168115840"," 0.187614253","-0.523295718","-0.442711350","-0.104141142","-0.1149349879"," 0.574073188"," 0.089402611"," 0.329926137"," 0.8522357912"," 0.48435463"," 0.466493970","-0.3788267136","-0.221377092","-0.10213417","-0.5164356734","-0.1667493669"," 0.387759870"," 0.140981696"," 0.325873840"," 0.092741463","-0.293308069"," 0.478455893","-0.2766123472"," 4.050540e-01","-0.356072687","-0.4240726251","-0.683072225","-0.335880142","-3.281362e-01"," 0.534721244"," 0.070463584"," 0.479811389","-0.160021922"," 0.056037160","-0.176955159","-1.947771e-02"," 0.2672118665","-0.69809266","-0.0812724550","-0.634430446"," 0.397851621","-0.3573293118","-0.705360715"," 0.281763215"," 0.256740357"," 0.463856459"," 0.3941022296","-0.576323564","-0.098246854"," 0.5397152189","-0.124773651"," 0.249238590"," 1.106847570"," 0.451847455"," 0.1120687620","-0.173469224","-0.238625189","-0.150602599"," 0.206776190","-0.358091435"," 0.376290776","-0.030586764"," 0.282701817"," 0.033481451"," 0.770591714"," 0.273595270","-0.22825489","-0.014381658","-0.298466210","-0.0445760667","-0.1691241294","-0.258748444","-0.1048510149","-0.564258305"," 1.190556e-02"," 0.1748496199","-0.399796557","-0.05209524"," 4.206216e-01"," 0.262077440","-0.019154252"," 0.001531456","-0.096069800","-0.183584548"," 0.4983639547","-0.148950566","-0.415638803","-0.755813635","-1.008338781"," 0.227032531","-0.305669841","-0.0432286969","-0.135383879","-0.272225363","-0.071213571"," 0.264110179"," 0.040175970","-1.076405858"," 0.4080924602"," 0.3435997486","-0.209920551","-0.106395028","-0.601751710","-0.298602946","-0.181543288"," 0.4269939609"," 0.29301562","-0.396061203","-0.2802711407","-1.278378829",1,1,"HDA"
"HDATP2"," 0.048089475","-0.095521026"," 0.273474890"," 0.9930801433"," 0.18569011"," 0.592578150","-0.1402458472"," 0.8404955356","-0.0605548405","-0.4770842321"," 0.339561647"," 0.518038152"," 0.657141006","-0.405513451"," 0.755371917"," 0.197998040","-0.496400129","-0.014291271","-0.3622439200"," 0.7568478294"," 0.002630108"," 0.656037944","-0.4783452580","-0.626236412","-0.378445032","-0.3069392302"," 0.715785438"," 0.5169728798","-0.035496543","-0.876430172"," 0.2374991881","-0.7720828886"," 0.511221158","-0.897326712","-0.648342596","-0.340149422"," 0.336350326"," 1.3323421333","-0.165898715"," 0.227377058"," 0.344270716","-0.325536560","-0.673523934","-1.370712442","-0.2008701571"," 0.895404992"," 0.671788284","-0.491562924"," 0.4303856780"," 1.04950887"," 0.166184429","-1.1238160626"," 0.351006248","-0.08537403","-0.9520929685"," 1.1267684990"," 0.126651284","-0.310351977"," 0.762477237"," 0.433294712"," 0.265308051"," 0.773674180","-0.0320706501"," 2.585260e-01","-0.597701665"," 0.6843744292","-0.286464150"," 0.380107614","-3.252663e-01","-0.177276498"," 0.463546767"," 0.917575474"," 0.391700240"," 0.074392769","-0.226174284","-3.104440e-01","-0.6267005188"," 0.12098367","-0.2071628043","-1.006491060"," 0.474317856","-0.2093895864","-0.131707440","-0.123587473","-0.379668486","-0.010116251"," 0.8547900431","-0.492138701","-0.185974961"," 0.6124485833","-0.647870981"," 1.055087763"," 1.929869114"," 0.321200863","-0.5590258016","-1.793121727"," 0.085675271","-0.805255207","-0.177801575","-0.968685198"," 1.276324525","-0.267457132"," 1.436313104","-0.643790062"," 0.797107494"," 0.227204987","-0.96263092","-0.053630205","-0.443509705"," 0.1671929089","-0.9808556808"," 0.396614609","-0.6104179175","-1.125006747","-7.917846e-02"," 0.1410786752","-0.562920530"," 0.34289732"," 3.387320e-01"," 0.412727438","-0.183274636","-0.027247997"," 0.422418726","-0.543585574"," 0.3361640448","-0.702122986"," 0.100165532"," 0.288520236","-0.333904415","-0.645084685"," 0.435031453","-0.7938142893"," 0.360330269"," 0.043517111","-1.339412904","-0.312134671","-0.345528719","-0.961639700"," 0.4239750352"," 0.2419656299","-0.428029620","-0.032235632","-0.597632595","-0.396683928","-0.272233055"," 0.9456967628"," 0.64507826"," 0.202044721","-0.0751156651","-0.422831734",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.185523650"," 0.107947623","-0.0869376888","-0.30096464","-0.020118522"," 0.0197604449"," 0.1002130535","-0.0474856700"," 0.0840216291","-0.091871244","-0.446979072","-0.261872206","-0.192191091"," 0.095373396","-0.273809503","-0.416542136","-0.476140647"," 0.2643404850","-0.1836287404","-0.152252745","-0.030780601","-0.2390082846"," 0.183895550","-0.441268762","-0.2351383049"," 0.225225329","-0.1991513180","-0.279269561","-0.852838207"," 0.1008811098","-0.1417175085"," 0.265648614"," 0.109974571","-0.033237979"," 0.111735952","-0.583802270","-0.1276682610","-0.033178064"," 0.029850579"," 0.188847148","-0.549825769","-0.384945457"," 0.257411683","-0.0941353215"," 0.292268026","-0.054248039"," 0.326038814"," 0.3232137010"," 0.22345964"," 0.408103549"," 0.0723838220","-0.291636236"," 0.01037766","-0.1065851679"," 0.0243161945"," 0.327736655","-0.314843989"," 0.090720209"," 0.060768355","-0.152771585"," 0.154814107","-0.3962903509"," 2.681862e-01","-0.255102061","-0.7347742183","-0.360382903","-0.331090014"," 4.256218e-05"," 0.520282180","-0.224260505"," 0.212235510"," 0.199437297"," 0.249648699","-0.319999364","-4.162972e-02"," 0.4265600089","-0.73105262"," 0.0087855788","-0.288439576"," 0.142750514","-0.4581490965","-0.639835157"," 0.332428351"," 0.470872460"," 0.362664113"," 0.0487688383","-0.353704413","-0.048090522"," 0.3496740876"," 0.049433993"," 0.162085881"," 0.545581697"," 0.295832531"," 0.2562766625"," 0.114707604","-0.407308948"," 0.169979148"," 0.290240110"," 0.156792124","-0.041340078"," 0.145920192"," 0.117391507"," 0.174673134"," 0.578470147"," 0.314534150"," 0.02151177"," 0.063478788","-0.003735549","-0.1254567003","-0.2255489338","-0.549648851"," 0.0990645168","-0.564096538","-1.474216e-03"," 0.1487170903","-0.222245094","-0.03864190"," 4.252132e-01"," 0.306418894","-0.066941416"," 0.088294448","-0.165767225","-0.381288914"," 0.3986275880","-0.108909882","-0.308264460","-0.528548686","-0.533089422"," 0.200793764","-0.267970888","-0.3106823548","-0.331175950","-0.227883515"," 0.281700637"," 0.316519203"," 0.097326640","-0.427052387"," 0.2681033356"," 0.3538890494","-0.160136488","-0.498648135","-0.327147539","-0.146389704","-0.371966641"," 0.5473896763"," 0.17463479","-0.123289571"," 0.0259383260","-1.497051807",1,1,"HDA"
"HDATP3"," 0.138395010"," 0.614456256","-0.145917703"," 0.1742445028","-0.09165820"," 0.095917905","-0.1497778116"," 0.0369769108"," 0.1190933957"," 0.4447515649"," 0.211582515","-0.117967805","-0.166752192"," 0.140289642"," 0.581533616","-0.129954689","-0.343272557","-0.087917608"," 0.2659353788"," 0.3336357655"," 0.062079038","-0.204703389","-0.3390593963","-0.060321485","-0.467867465","-0.1134510308"," 0.432631247","-0.0332580248","-0.396716743","-0.760770922"," 0.0989071261","-0.4824533667","-0.413850895","-0.247113273","-0.140787114"," 0.077630772"," 0.299636637","-0.4629091669"," 0.069105998"," 0.038216343"," 0.225334211","-0.370204638"," 0.097135830","-0.252433563","-0.5905272703"," 0.809560808"," 0.115252321"," 0.066694768"," 0.1500380808"," 0.57564540"," 0.091114282","-0.0917317207","-0.248248440"," 0.39657541","-0.3832748625"," 0.3962719695"," 0.600264820","-0.076934339"," 0.162140764"," 0.411422641","-0.508417097"," 0.237912064","-0.1362982653","-2.393189e-02","-0.291155074","-0.0729155267","-0.217022395","-0.227576211","-6.576253e-02","-0.116092761","-0.181502109"," 0.590943393"," 0.013508911"," 0.459565472","-0.335276924"," 7.206251e-05","-0.0746416939","-0.21002078"," 0.1612558049","-0.295197936"," 0.031763690","-0.5005300206","-0.634904699","-0.036707834"," 0.271075749"," 0.102950371"," 0.3450187513","-0.887127238","-0.228469099"," 0.6481549987","-0.214155438","-0.206905018"," 0.408612360"," 0.404895309","-0.0335087891","-0.111828583","-0.549613356","-0.068570479"," 0.217844716","-0.231474505"," 0.183091979"," 0.082196575"," 0.450953608","-0.199725580"," 0.599975750"," 0.353053348"," 0.12361400","-0.352555848","-0.224811295","-0.0154585215"," 0.1039487733","-0.167398141","-0.1095306672","-0.441467308"," 6.563746e-02","-0.1240985853"," 0.079107926","-0.42379332"," 7.943341e-02"," 0.144398089","-0.139073544","-0.147470106"," 0.117641230","-0.379714310"," 0.3114165011","-0.273132967","-0.167358371","-0.342015414","-0.015863803"," 0.103863687"," 0.203791239"," 0.1197238613"," 0.224093161","-0.129135595","-0.001186093"," 0.149963587"," 0.133635142","-0.410395946"," 0.5751926607"," 0.4458053759","-0.334616130","-0.149049785"," 0.166101245","-0.030205279","-0.296141523"," 0.6336923913"," 0.11691643"," 0.305285339"," 0.2333373606"," 0.297935957",1,1,"HDA"
"HDATP3.3","-0.054201196"," 0.012306344","-0.092838517"," 0.0505991429","-0.08781566","-0.435631756","-0.1290632515"," 0.1074173243"," 0.1183150404","-0.1326543574"," 0.168173483","-0.142895133","-0.585080019","-0.201364434"," 0.004969205","-0.349566925","-0.398380811","-0.512383352"," 0.2893913076","-0.2216848820"," 0.012700692"," 0.157360009","-0.2462934348"," 0.156994231","-0.554104849","-0.1269314880"," 0.135555931"," 0.1486654693","-0.261463853","-0.606772983"," 0.0184886517","-0.3756911152","-0.012811374","-0.060083708","-0.265761134"," 0.071073564"," 0.235180556","-0.1013818902"," 0.160004317"," 0.105608191","-0.015290308","-0.414262924","-0.181908677","-0.047398976","-0.2212965711"," 0.317616432"," 0.159520121"," 0.240540678"," 0.4357025628"," 0.37343813"," 0.222055543","-0.2885649747","-0.172392087"," 0.05478049","-0.1436327408"," 0.1323577017"," 0.090393441"," 0.070389669"," 0.240992923"," 0.269669542","-0.078180725"," 0.519129100","-0.2160239878"," 3.460524e-02","-0.560246633","-0.0970430449","-0.225830187","-0.370223337","-1.749299e-01"," 0.335686428"," 0.181486907"," 0.328289270","-0.437687994"," 0.162210647","-0.337320196","-8.740965e-02"," 0.0441228834","-0.53654955"," 0.0304369571","-0.278265362"," 0.244406860","-0.5011821084","-0.908919612"," 0.187881056"," 0.393822862"," 0.180656612","-0.0742666608","-0.682325553"," 0.049101672"," 0.2100477968","-0.232029962","-0.120033313"," 0.455580717"," 0.565712033"," 0.2621333931"," 0.007083550","-0.498981075"," 0.009833355","-0.024300364","-0.201158224"," 0.342863752"," 0.245310110"," 0.093973096"," 0.049364974"," 0.471157589"," 0.316043973","-0.13933970","-0.275298057","-0.404357832"," 0.1363015972","-0.1876113374","-0.255129742","-0.2768996031","-0.504903578","-4.188021e-02"," 0.0877587268","-0.227946900","-0.22959708"," 2.691961e-01"," 0.075230629","-0.071438421","-0.072106864","-0.229008936","-0.440520879"," 0.1975745634"," 0.077842944","-0.177457330","-0.197051872","-0.855607358"," 0.294906495","-0.029903112"," 0.3448964711"," 0.150134734","-0.275281777"," 0.042038557"," 0.542456260"," 0.091309016","-0.699591230"," 0.2366168813"," 0.3914518666","-0.295694632","-0.343299257"," 0.009988674","-0.096229913","-0.254091796"," 0.5412104469"," 0.60405988","-0.047372148"," 0.0560867435","-1.264684826",1,1,"HDA"
"ACTTP1"," 0.202264094"," 0.141890659","-0.038147474"," 0.0434920475"," 0.17112167"," 0.268145482"," 0.3877332147","-0.1455875822"," 0.1180514170","-0.2441456393","-0.610453948"," 0.371335934","-0.120705055"," 0.321873851","-0.567098714","-0.820423906","-0.275225525","-0.187593469"," 0.0945006004","-0.5228678472","-0.219858887"," 0.064483497","-0.1654724655","-0.091782120"," 0.131030759","-1.2714800299","-0.252399722"," 0.3664804498","-0.184103760","-0.609712455","-0.0699708389"," 0.7218219821"," 0.443604036"," 0.079297238"," 1.172330314"," 0.675116285"," 0.193954445"," 0.3631620477"," 0.109697423"," 0.620290456"," 0.184804187","-0.235787031","-0.003324658","-0.015412877"," 0.2869779368","-0.009197840"," 0.516226290"," 0.240826377","-0.9367188175","-0.72307727","-0.763157584","-0.2117636058"," 0.367217415"," 0.24425936"," 0.2063098269","-0.5995011482"," 0.166078215","-0.207166142"," 0.327610209","-0.138582867"," 0.446131200"," 0.428941401"," 0.4751231229","-7.380054e-05"," 0.308130846"," 0.0157864428"," 0.218046497","-0.163164379"," 8.239979e-02","-0.092133095","-0.397963321"," 0.189556861"," 0.162229304"," 0.083780394","-0.106166299"," 1.793728e-01"," 0.0533097205","-0.32933728","-0.4054104938","-0.465218240"," 0.164831810"," 0.0762081898","-0.518705977","-0.267874118"," 0.092452247"," 0.408632402"," 0.1492818754"," 0.276849885"," 0.620675230","-0.1999888999","-0.037002962"," 0.037003421"," 1.010585923","-0.308834917"," 0.3122227535","-0.211725982","-0.174481381"," 0.031693288","-0.663367371","-0.024164152"," 0.162906905"," 0.125725619"," 0.237069223","-0.380526745"," 0.052327009"," 0.098384308","-0.60452585","-0.008737414","-0.083220159","-0.0519485032"," 0.1020615977","-0.231498675"," 0.0734072970"," 0.387670853","-1.711199e-01","-0.0383707790"," 0.226585337","-0.23038200","-2.524917e-02"," 0.127053847"," 0.184753047"," 0.371603352"," 0.267242485","-0.336428154","-0.2977171072"," 0.229857353"," 0.803219664","-0.052090970"," 0.086195238","-0.047314096"," 0.026523711"," 0.4656319632"," 0.390442036","-0.456082939"," 0.096934763"," 0.068353654","-0.064025358"," 0.223431949"," 0.2076246919"," 0.3704789272","-0.032204790","-0.088109142"," 0.016717599"," 0.016891962","-0.156420851"," 0.4572184003"," 0.22426203"," 0.356543432","-0.1065191181"," 0.423564468",2,2,"ACTd"
"ACTTP2","-0.516225196","-0.558822700"," 0.449399563"," 0.4564693785","-0.43599932"," 0.311429237"," 0.5074935419"," 0.5958045104","-0.1853478379","-0.0999176690"," 0.341163147","-0.221771348"," 0.091426207","-0.081875483","-0.472476824"," 0.408114538","-0.039491402","-0.330618340"," 0.2837536316","-0.0462571689","-1.298251225"," 0.443856605"," 0.8167498242"," 0.408005432"," 0.005374384","-0.8500083553","-0.122572136","-0.5286948481","-0.066589012","-0.689272531","-0.0709397222"," 0.3438391648"," 0.713311372"," 0.140133175","-0.102451186"," 1.261926559"," 0.196059729"," 1.4046992539","-0.252069499","-0.221971960"," 0.331770895"," 0.432540499"," 0.181163489","-0.069964030"," 0.5406945381"," 0.088458114"," 0.532202706"," 0.137528182"," 0.0219687801","-0.15494751","-0.081602112","-0.3321255823"," 0.093042566","-0.10529164","-0.1257123412"," 0.2948070935"," 0.026828976"," 0.200297104","-0.080928775"," 0.544383806"," 0.365926275","-0.076521793"," 0.6385050838"," 3.799954e-01"," 1.461790073","-0.5948214967","-0.043037473"," 0.208662767"," 1.123479e-01"," 0.702972640","-0.006341021","-0.310712634"," 0.080652515"," 0.245508816","-0.203491999","-5.349933e-01"," 0.1925791815"," 0.24891658","-0.3738045995","-0.006808500","-0.274203555"," 0.0819345616"," 0.171843543"," 0.268160733","-0.532766521"," 0.318692310","-0.4292783936"," 0.555965955","-0.320363762","-0.3646658101","-0.011216982"," 0.040347006"," 1.029162012","-0.535363640","-0.2318163083"," 0.250690387"," 0.822321581","-0.006611051","-0.325205250"," 0.579164217"," 0.154950563"," 0.624834718"," 0.696223376"," 0.544585819","-0.028936559"," 0.513510519"," 0.23037583"," 0.513967092"," 0.086051965","-0.5927841970"," 0.2215891296"," 0.137784124","-0.0335929411","-0.263355253"," 5.419662e-02"," 0.8000469601"," 0.368718786"," 0.19230830"," 4.496176e-02"," 0.305175808","-0.235300632","-0.462228489","-0.326204075"," 0.405114124","-0.1599634264","-0.139954989"," 0.127128356","-0.335928791","-0.132768927"," 0.128055865","-0.461339121","-0.1422799945","-0.114685320"," 0.192527318"," 0.305349197","-0.232705155","-0.170197943","-0.462015464"," 0.0692360941"," 0.2917871906","-0.305739662","-0.133486816","-0.114657442","-0.053702202","-0.218710957"," 0.3685123140","-0.10447507","-0.016586875"," 0.2507461935","-0.109457660",2,2,"ACTd"
"ACTTP3","-0.427260943","-0.863228958"," 0.389143838"," 0.0128850864","-0.30056712","-0.116610678"," 0.7990526794"," 0.2689548088"," 0.2309941558"," 0.0588069421","-0.048089353"," 0.333498219","-0.199208135","-0.124747265","-0.341272825","-0.220853391","-0.230819720","-0.271300293","-0.0542892982","-0.0644511628","-0.369727489"," 0.184286048"," 0.1058775849"," 0.107888686","-0.681997727","-0.6427313060"," 0.148947877"," 0.1713181810"," 0.079842310","-0.587621610"," 0.1477499331"," 0.3154353387"," 1.671645560","-0.172911274"," 0.994013244"," 0.921505529"," 0.044743722"," 0.7481614865","-0.211682415"," 0.850917394"," 0.410518337","-0.103406810","-0.033592423","-0.244111801","-0.4169283821","-0.409861874"," 0.294675870"," 0.815280224","-1.2322084955","-0.42956604"," 0.484218778","-0.1799733011"," 0.189831039"," 0.08971356","-0.1848522310","-0.0548092492"," 0.057951347"," 0.027133179"," 0.519285891","-0.569426604"," 0.570422826"," 0.350603527","-0.2516767123"," 2.849938e-01","-0.230254749"," 0.0261267177","-0.001583855","-0.049298113"," 5.308760e-01"," 0.254527048"," 0.086807986","-0.078109948"," 0.960883495"," 0.119552249","-0.009625551","-4.183971e-01","-0.1265001794","-0.69200239","-0.5771330069","-0.011000116","-0.070902547"," 0.1135519431"," 1.128508797"," 0.469568554"," 0.293640542"," 0.663982850","-0.0012028729"," 0.375804772"," 0.332240586"," 0.2542751270","-0.628570736","-0.226985499"," 1.373788558"," 0.122444665"," 0.0453987310"," 0.221261188","-0.286903536","-0.145069939"," 0.055098121"," 0.127187933"," 1.292150495","-0.137897916"," 1.320428263"," 0.592239934","-0.100173613"," 0.244669408","-0.08610060"," 0.243268039"," 0.264957997","-0.2695612433","-0.0363332847","-0.097697549"," 0.4702768635","-0.517773150","-3.024591e-01"," 0.0393737712"," 0.335497534","-0.32470472"," 5.551138e-01"," 0.124003374","-0.007600644","-0.045344622","-0.228922916","-0.939493702","-0.1839630876","-0.028275360"," 0.045918073","-0.169345975","-0.263698745"," 0.289986370"," 0.020815421"," 0.3712672459","-0.135086451"," 0.203090941"," 0.676013314","-0.025116190","-0.274986334","-0.900634434","-0.3973515816","-0.1206258041","-0.202194672","-0.231129462","-0.205771909"," 0.235853715","-1.144299839"," 0.0564637811"," 0.27599636"," 0.389408754","-0.1199714786","-1.048793483",2,2,"ACTd"
"ACTTP4"," 0.061328012","-0.791935119"," 0.128876445"," 0.8316955429","-0.57964395","-0.408956676"," 0.7683048076","-0.0874095828","-0.4173058866"," 0.1681628593"," 0.373362851"," 0.144103224","-0.304166557","-0.193815414","-0.224430693","-0.204925245","-0.542966036"," 1.604973559","-0.0308813722","-0.3065212778","-0.625653241","-0.197310958"," 0.2498008309","-0.450211569","-0.057208533","-0.5183377581","-0.615295786","-0.1061065372"," 0.385496495","-0.338768202","-0.2629717140"," 0.5667409353"," 1.595284514","-0.653733681"," 0.869955936"," 0.686265085"," 0.023136419"," 1.1835692659","-0.699352264"," 0.681495240"," 0.173927058","-0.195246744"," 0.453495762","-0.217699110"," 0.2242594186","-0.605867636"," 0.172221180"," 0.502594695"," 0.1903089051"," 0.65874303"," 0.231544036"," 0.1581472761","-0.314163878","-0.11671821","-0.0679262249"," 0.2389681096","-0.335294876"," 0.128493074"," 0.382644153","-0.099309162"," 0.148977895","-0.122995618"," 0.2082600495","-1.554440e-01","-3.237151184","-0.1100961750"," 0.046531070"," 0.453858521"," 6.690681e-01"," 0.160901968"," 0.796382882","-0.372843031"," 1.108010815","-0.230033604"," 0.258742246","-6.911116e-02","-0.0911109161"," 0.62162355"," 0.0645917702"," 0.117741607","-0.396171107"," 0.1708798346"," 1.910645734"," 0.633926131"," 0.031444066"," 0.737625979"," 0.3275395829"," 0.702184741","-0.762976286","-0.0435794938","-0.400045183"," 1.649281812"," 2.166414371","-0.831785229","-0.1272603968","-0.154242665"," 0.583532321"," 0.037925258"," 0.063397851"," 0.331188264"," 1.336305861","-0.235841689"," 1.295289075","-0.297718701","-1.070786885"," 0.914551580","-0.03303426"," 0.382978540"," 0.653691754","-0.4342814270","-0.0283877970","-0.019515594"," 0.6385473398","-0.714992465"," 1.670119e-01"," 0.1564631947"," 0.102369306"," 0.50405548"," 1.591948e-01","-0.236155800"," 0.123227975","-0.403076390","-0.049457777","-0.543064511","-0.9761859059","-0.226318937"," 0.068443434","-0.349458012","-0.325758400","-0.005857111"," 0.023473510"," 0.0800480746","-1.725562032"," 0.456502030"," 1.477595891","-0.929817595","-0.394823362","-0.867352265","-0.2577466985","-0.1164159106","-0.031757888","-0.386955734"," 0.341045562"," 0.124212164","-1.086733887","-0.1701260266","-0.13374600"," 0.155805145"," 0.3992742756","-1.882239460",2,2,"ACTd"
