"","MAL13P1.124","MAL13P1.137","MAL13P1.179","MAL13P1.256","MAL13P1.322","MAL13P1.40","MAL7P1.171","MAL7P1.65","MAL7P1.75","MAL8P1.105","MAL8P1.123","MAL8P1.132","MAL8P1.153","MAL8P1.91","PF07_0074","PF08_0032","PF10_0020","PF10_0085","PF10_0111","PF10_0152","PF10_0307","PF10_0374","PF11_0090","PF11_0162","PF11_0260","PF11_0290","PF11_0435","PF11_0438","PF13_0032","PF13_0042","PF13_0095","PF13_0137","PF13_0219","PF14_0071","PF14_0112","PF14_0238","PF14_0360","PF14_0499","PF14_0552","PF14_0562","PF14_0593","PF14_0642","PF14_0713","PF14_0719","PFB0590w","PFB0920w","PFB0923c","PFC0090w","PFC0400w","PFD0285c","PFD0470c","PFD0545w","PFE0165w","PFE0205w","PFE0430w","PFE0450w","PFE0585c","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI0710c","PFI1185c","PFI1425w","PFL0580w","PFL0685w","PFL0980w","PFL1270w","PFL2200w","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.316768853"," 0.5515956443"," 1.019706582","-0.8733616835"," 0.197657333"," 1.0986047434"," 1.139212618","-0.054218921"," 0.101708435","-0.5819713652"," 0.7996905538"," 0.961001925","-0.246259324","-0.389071015","-0.3915275306"," 0.2426192636","-0.273064257","-1.487559756","-0.511115266"," 0.290570586"," 0.360651106"," 0.254037630","-0.516830830","-0.0253834277"," 0.668513304","-0.308104350","-0.2650546899"," 0.201150734","-0.6758693233","-0.80491905"," 1.5164228459"," 0.509321778","-0.2101276035"," 4.570213e-02"," 0.139804803"," 0.789741460","-0.368592920","-0.2924209947","-0.37932014","-0.3077459455","-1.038829259"," 0.620033954","-0.3580350006","-0.894046629"," 0.870640108"," 2.401440831"," 0.746242952"," 0.325972146"," 1.161525903","-0.253557920"," 2.112803497"," 0.880615369"," 0.453632375","-0.222908349","-0.593935729","-0.3038339418"," 0.674259154","-1.365175371","-1.633028e-01"," 0.4444442211"," 0.39835576"," 0.3563599044","-0.478279948"," 0.421092401","-0.575146784","-0.635553305"," 0.646175158","-1.325399525","-0.208201919","-0.611344225","-1.086363805"," 0.5517402881","-0.534518458"," 1.30768437",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.141389427"," 0.1461847853","-0.069963021","-0.0969238797"," 0.053784485"," 0.7158679690"," 0.226883580","-0.131819785"," 0.247659432"," 0.1322113626","-0.0429221713"," 0.490370125","-0.050618873","-0.111138149","-0.5416710351"," 0.1759299612","-0.127049693","-0.633727446"," 0.116000722","-0.059262556","-0.192086718"," 0.187614253","-0.523295718","-0.1149349879"," 0.574073188"," 0.329926137"," 0.8522357912"," 0.466493970","-0.3788267136","-0.10213417","-0.1667493669"," 0.325873840","-0.2766123472"," 4.050540e-01","-0.683072225"," 0.479811389"," 0.207672998"," 0.2672118665","-0.69809266","-0.0812724550","-0.634430446"," 0.397851621","-0.3573293118","-0.124773651"," 0.249238590"," 1.106847570"," 0.451847455","-0.238625189"," 0.376290776","-0.030586764"," 0.282701817"," 0.770591714"," 0.273595270","-0.014381658","-0.298466210","-0.0445760667","-0.258748444","-0.564258305"," 1.190556e-02"," 0.1748496199","-0.05209524"," 0.4983639547","-0.148950566","-0.415638803","-0.755813635","-1.008338781","-0.305669841","-0.071213571"," 0.264110179"," 0.040175970","-1.076405858"," 0.3435997486","-0.106395028"," 0.29301562",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.273474890"," 0.9930801433"," 0.592578150","-0.4770842321"," 0.518038152"," 1.0212943515"," 0.755371917"," 0.197998040"," 0.191455976","-0.3622439200"," 0.7568478294"," 0.795229463"," 0.002630108","-0.626236412","-0.3069392302"," 0.5169728798","-0.035496543","-0.876430172","-0.813540473","-0.340149422"," 0.336350326"," 0.344270716","-0.325536560","-0.2008701571"," 0.895404992","-0.491562924"," 0.4303856780"," 0.166184429","-1.1238160626","-0.08537403"," 1.1267684990"," 0.762477237","-0.0320706501"," 2.585260e-01","-0.286464150"," 0.917575474","-0.093617917","-0.6267005188"," 0.12098367","-0.2071628043","-1.006491060"," 0.474317856","-0.2093895864","-0.647870981"," 1.055087763"," 1.929869114"," 0.321200863"," 0.085675271"," 1.276324525","-0.267457132"," 1.436313104"," 0.797107494"," 0.227204987","-0.053630205","-0.443509705"," 0.1671929089"," 0.396614609","-1.125006747","-7.917846e-02"," 0.1410786752"," 0.34289732"," 0.3361640448","-0.702122986"," 0.100165532"," 0.288520236","-0.333904415"," 0.435031453","-1.339412904","-0.312134671","-0.345528719","-0.961639700"," 0.2419656299","-0.032235632"," 0.64507826",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.107947623","-0.0869376888","-0.020118522"," 0.0840216291","-0.446979072"," 0.6287404846"," 0.095373396","-0.273809503"," 0.072718782"," 0.2643404850","-0.1836287404"," 0.213116725","-0.152252745"," 0.183895550","-0.2351383049","-0.1991513180","-0.279269561","-0.852838207"," 0.292098965"," 0.111735952","-0.583802270"," 0.188847148","-0.549825769","-0.0941353215"," 0.292268026"," 0.326038814"," 0.3232137010"," 0.408103549"," 0.0723838220"," 0.01037766"," 0.0243161945"," 0.090720209","-0.3962903509"," 2.681862e-01","-0.360382903"," 0.212235510"," 0.189588333"," 0.4265600089","-0.73105262"," 0.0087855788","-0.288439576"," 0.142750514","-0.4581490965"," 0.049433993"," 0.162085881"," 0.545581697"," 0.295832531","-0.407308948","-0.041340078"," 0.145920192"," 0.117391507"," 0.578470147"," 0.314534150"," 0.063478788","-0.003735549","-0.1254567003","-0.549648851","-0.564096538","-1.474216e-03"," 0.1487170903","-0.03864190"," 0.3986275880","-0.108909882","-0.308264460","-0.528548686","-0.533089422","-0.267970888"," 0.281700637"," 0.316519203"," 0.097326640","-0.427052387"," 0.3538890494","-0.498648135"," 0.17463479",1,1,"HDA"
"HDATP3"," 0.138395010","-0.145917703"," 0.1742445028"," 0.095917905"," 0.4447515649","-0.117967805"," 0.3156029362"," 0.581533616","-0.129954689"," 0.345615962"," 0.2659353788"," 0.3336357655"," 0.142785598"," 0.062079038","-0.060321485","-0.1134510308","-0.0332580248","-0.396716743","-0.760770922"," 0.243528563"," 0.077630772"," 0.299636637"," 0.225334211","-0.370204638","-0.5905272703"," 0.809560808"," 0.066694768"," 0.1500380808"," 0.091114282","-0.0917317207"," 0.39657541"," 0.3962719695"," 0.162140764","-0.1362982653","-2.393189e-02","-0.217022395"," 0.590943393","-0.138021314","-0.0746416939","-0.21002078"," 0.1612558049","-0.295197936"," 0.031763690","-0.5005300206","-0.214155438","-0.206905018"," 0.408612360"," 0.404895309","-0.549613356"," 0.183091979"," 0.082196575"," 0.450953608"," 0.599975750"," 0.353053348","-0.352555848","-0.224811295","-0.0154585215","-0.167398141","-0.441467308"," 6.563746e-02","-0.1240985853","-0.42379332"," 0.3114165011","-0.273132967","-0.167358371","-0.342015414","-0.015863803"," 0.203791239","-0.001186093"," 0.149963587"," 0.133635142","-0.410395946"," 0.4458053759","-0.149049785"," 0.11691643",1,1,"HDA"
"HDATP3.3","-0.054201196","-0.092838517"," 0.0505991429","-0.435631756","-0.1326543574","-0.142895133"," 0.4871663800"," 0.004969205","-0.349566925"," 0.256522535"," 0.2893913076","-0.2216848820"," 0.107573557"," 0.012700692"," 0.156994231","-0.1269314880"," 0.1486654693","-0.261463853","-0.606772983"," 0.333553790"," 0.071073564"," 0.235180556","-0.015290308","-0.414262924","-0.2212965711"," 0.317616432"," 0.240540678"," 0.4357025628"," 0.222055543","-0.2885649747"," 0.05478049"," 0.1323577017"," 0.240992923","-0.2160239878"," 3.460524e-02","-0.225830187"," 0.328289270"," 0.185642985"," 0.0441228834","-0.53654955"," 0.0304369571","-0.278265362"," 0.244406860","-0.5011821084","-0.232029962","-0.120033313"," 0.455580717"," 0.565712033","-0.498981075"," 0.342863752"," 0.245310110"," 0.093973096"," 0.471157589"," 0.316043973","-0.275298057","-0.404357832"," 0.1363015972","-0.255129742","-0.504903578","-4.188021e-02"," 0.0877587268","-0.22959708"," 0.1975745634"," 0.077842944","-0.177457330","-0.197051872","-0.855607358","-0.029903112"," 0.042038557"," 0.542456260"," 0.091309016","-0.699591230"," 0.3914518666","-0.343299257"," 0.60405988",1,1,"HDA"
"ACTTP1"," 0.202264094","-0.038147474"," 0.0434920475"," 0.268145482","-0.2441456393"," 0.371335934"," 0.5289123976","-0.567098714","-0.820423906"," 0.229049271"," 0.0945006004","-0.5228678472"," 0.423899245","-0.219858887","-0.091782120","-1.2714800299"," 0.3664804498","-0.184103760","-0.609712455","-0.177449545"," 0.675116285"," 0.193954445"," 0.184804187","-0.235787031"," 0.2869779368","-0.009197840"," 0.240826377","-0.9367188175","-0.763157584","-0.2117636058"," 0.24425936","-0.5995011482"," 0.327610209"," 0.4751231229","-7.380054e-05"," 0.218046497"," 0.189556861"," 0.087421418"," 0.0533097205","-0.32933728","-0.4054104938","-0.465218240"," 0.164831810"," 0.0762081898","-0.037002962"," 0.037003421"," 1.010585923","-0.308834917","-0.174481381"," 0.162906905"," 0.125725619"," 0.237069223"," 0.052327009"," 0.098384308","-0.008737414","-0.083220159","-0.0519485032","-0.231498675"," 0.387670853","-1.711199e-01","-0.0383707790","-0.23038200","-0.2977171072"," 0.229857353"," 0.803219664","-0.052090970"," 0.086195238"," 0.026523711"," 0.096934763"," 0.068353654","-0.064025358"," 0.223431949"," 0.3704789272","-0.088109142"," 0.22426203",2,2,"ACTd"
"ACTTP2","-0.516225196"," 0.449399563"," 0.4564693785"," 0.311429237","-0.0999176690","-0.221771348"," 0.8395176549","-0.472476824"," 0.408114538","-0.686272030"," 0.2837536316","-0.0462571689"," 0.094698886","-1.298251225"," 0.408005432","-0.8500083553","-0.5286948481","-0.066589012","-0.689272531"," 0.499363458"," 1.261926559"," 0.196059729"," 0.331770895"," 0.432540499"," 0.5406945381"," 0.088458114"," 0.137528182"," 0.0219687801","-0.081602112","-0.3321255823","-0.10529164"," 0.2948070935","-0.080928775"," 0.6385050838"," 3.799954e-01","-0.043037473","-0.310712634","-0.136357538"," 0.1925791815"," 0.24891658","-0.3738045995","-0.006808500","-0.274203555"," 0.0819345616","-0.011216982"," 0.040347006"," 1.029162012","-0.535363640"," 0.822321581"," 0.154950563"," 0.624834718"," 0.696223376","-0.028936559"," 0.513510519"," 0.513967092"," 0.086051965","-0.5927841970"," 0.137784124","-0.263355253"," 5.419662e-02"," 0.8000469601"," 0.19230830","-0.1599634264","-0.139954989"," 0.127128356","-0.335928791","-0.132768927","-0.461339121"," 0.305349197","-0.232705155","-0.170197943","-0.462015464"," 0.2917871906","-0.133486816","-0.10447507",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.389143838"," 0.0128850864","-0.116610678"," 0.0588069421"," 0.333498219"," 1.7138364861","-0.341272825","-0.220853391","-0.195579550","-0.0542892982","-0.0644511628"," 0.243436361","-0.369727489"," 0.107888686","-0.6427313060"," 0.1713181810"," 0.079842310","-0.587621610","-0.074657958"," 0.921505529"," 0.044743722"," 0.410518337","-0.103406810","-0.4169283821","-0.409861874"," 0.815280224","-1.2322084955"," 0.484218778","-0.1799733011"," 0.08971356","-0.0548092492"," 0.519285891","-0.2516767123"," 2.849938e-01","-0.001583855","-0.078109948"," 0.901941267","-0.1265001794","-0.69200239","-0.5771330069","-0.011000116","-0.070902547"," 0.1135519431","-0.628570736","-0.226985499"," 1.373788558"," 0.122444665","-0.286903536"," 1.292150495","-0.137897916"," 1.320428263","-0.100173613"," 0.244669408"," 0.243268039"," 0.264957997","-0.2695612433","-0.097697549","-0.517773150","-3.024591e-01"," 0.0393737712","-0.32470472","-0.1839630876","-0.028275360"," 0.045918073","-0.169345975","-0.263698745"," 0.020815421"," 0.676013314","-0.025116190","-0.274986334","-0.900634434","-0.1206258041","-0.231129462"," 0.27599636",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.128876445"," 0.8316955429","-0.408956676"," 0.1681628593"," 0.144103224"," 2.0315786669","-0.224430693","-0.204925245","-0.092724707","-0.0308813722","-0.3065212778"," 0.143651597","-0.625653241","-0.450211569","-0.5183377581","-0.1061065372"," 0.385496495","-0.338768202","-0.321561542"," 0.686265085"," 0.023136419"," 0.173927058","-0.195246744"," 0.2242594186","-0.605867636"," 0.502594695"," 0.1903089051"," 0.231544036"," 0.1581472761","-0.11671821"," 0.2389681096"," 0.382644153"," 0.2082600495","-1.554440e-01"," 0.046531070","-0.372843031"," 0.327032008","-0.0911109161"," 0.62162355"," 0.0645917702"," 0.117741607","-0.396171107"," 0.1708798346","-0.400045183"," 1.649281812"," 2.166414371","-0.831785229"," 0.583532321"," 1.336305861","-0.235841689"," 1.295289075","-1.070786885"," 0.914551580"," 0.382978540"," 0.653691754","-0.4342814270","-0.019515594","-0.714992465"," 1.670119e-01"," 0.1564631947"," 0.50405548","-0.9761859059","-0.226318937"," 0.068443434","-0.349458012","-0.325758400"," 0.023473510"," 1.477595891","-0.929817595","-0.394823362","-0.867352265","-0.1164159106","-0.386955734","-0.13374600",2,2,"ACTd"
